,country_code,country_name,year_2,skill_change
0,au,Australia,2016,0.030917263
1,au,Australia,2017,0.090270835
2,au,Australia,2018,0.108319694
3,au,Australia,2019,0.191287854
4,au,Australia,2020,0.260636067
5,au,Australia,2021,0.254181424
6,br,Brazil,2016,0.023793888
7,br,Brazil,2017,0.084039177
8,br,Brazil,2018,0.119012914
9,br,Brazil,2019,0.242260479
10,br,Brazil,2020,0.38026373
11,br,Brazil,2021,0.38411198
12,ca,Canada,2016,0.030787557
13,ca,Canada,2017,0.075777568
14,ca,Canada,2018,0.090960334
15,ca,Canada,2019,0.178166585
16,ca,Canada,2020,0.250600186
17,ca,Canada,2021,0.24562615
18,cn,China,2016,0.046814962
19,cn,China,2017,0.145644355
20,cn,China,2018,0.146485859
21,cn,China,2019,0.267121629
22,cn,China,2020,0.46717933
23,cn,China,2021,0.436437851
24,dk,Denmark,2016,0.043570875
25,dk,Denmark,2017,0.118230673
26,dk,Denmark,2018,0.123854037
27,dk,Denmark,2019,0.269496178
28,dk,Denmark,2020,0.375770299
29,dk,Denmark,2021,0.334455809
30,fr,France,2016,0.032374424
31,fr,France,2017,0.089679427
32,fr,France,2018,0.110680466
33,fr,France,2019,0.239240279
34,fr,France,2020,0.349055813
35,fr,France,2021,0.338399851
36,de,Germany,2016,0.037685211
37,de,Germany,2017,0.110034092
38,de,Germany,2018,0.127834788
39,de,Germany,2019,0.199265206
40,de,Germany,2020,0.276901648
41,de,Germany,2021,0.279173504
42,glo,Global,2016,0.021462425
43,glo,Global,2017,0.073483725
44,glo,Global,2018,0.087803909
45,glo,Global,2019,0.176687714
46,glo,Global,2020,0.259354767
47,glo,Global,2021,0.253750788
48,in,India,2016,0.024301363
49,in,India,2017,0.087975957
50,in,India,2018,0.11474517
51,in,India,2019,0.200079511
52,in,India,2020,0.299918876
53,in,India,2021,0.290614466
54,id,Indonesia,2016,0.037082568
55,id,Indonesia,2017,0.100762423
56,id,Indonesia,2018,0.119940694
57,id,Indonesia,2019,0.171131361
58,id,Indonesia,2020,0.245593781
59,id,Indonesia,2021,0.226231565
60,ie,Ireland,2016,0.04351122
61,ie,Ireland,2017,0.112067272
62,ie,Ireland,2018,0.11729004
63,ie,Ireland,2019,0.199112354
64,ie,Ireland,2020,0.295696481
65,ie,Ireland,2021,0.291515464
66,it,Italy,2016,0.027867443
67,it,Italy,2017,0.076936517
68,it,Italy,2018,0.09237226
69,it,Italy,2019,0.186525858
70,it,Italy,2020,0.307770428
71,it,Italy,2021,0.298869284
72,jp,Japan,2016,0.052029996
73,jp,Japan,2017,0.089267482
74,jp,Japan,2018,0.13132908
75,jp,Japan,2019,0.199901881
76,jp,Japan,2020,0.413214153
77,jp,Japan,2021,0.333587522
78,my,Malaysia,2016,0.043880597
79,my,Malaysia,2017,0.092199281
80,my,Malaysia,2018,0.106703495
81,my,Malaysia,2019,0.193094989
82,my,Malaysia,2020,0.279982622
83,my,Malaysia,2021,0.273710076
84,mx,Mexico,2016,0.028963844
85,mx,Mexico,2017,0.113965901
86,mx,Mexico,2018,0.137667689
87,mx,Mexico,2019,0.208483306
88,mx,Mexico,2020,0.368788358
89,mx,Mexico,2021,0.326059993
90,nl,Netherlands,2016,0.029275675
91,nl,Netherlands,2017,0.083190829
92,nl,Netherlands,2018,0.103469088
93,nl,Netherlands,2019,0.174538726
94,nl,Netherlands,2020,0.307284459
95,nl,Netherlands,2021,0.294979084
96,nz,New Zealand,2016,0.039666496
97,nz,New Zealand,2017,0.096821764
98,nz,New Zealand,2018,0.130810339
99,nz,New Zealand,2019,0.203708966
100,nz,New Zealand,2020,0.338626821
101,nz,New Zealand,2021,0.352244023
102,ph,Philippines,2016,0.031401856
103,ph,Philippines,2017,0.087992211
104,ph,Philippines,2018,0.113838378
105,ph,Philippines,2019,0.178168959
106,ph,Philippines,2020,0.298195204
107,ph,Philippines,2021,0.283373875
108,pt,Portugal,2016,0.027839443
109,pt,Portugal,2017,0.084231206
110,pt,Portugal,2018,0.10142146
111,pt,Portugal,2019,0.209277636
112,pt,Portugal,2020,0.365092181
113,pt,Portugal,2021,0.339098802
114,sg,Singapore,2016,0.04030604
115,sg,Singapore,2017,0.102166606
116,sg,Singapore,2018,0.107133511
117,sg,Singapore,2019,0.207065892
118,sg,Singapore,2020,0.297286334
119,sg,Singapore,2021,0.313108843
120,es,Spain,2016,0.030163324
121,es,Spain,2017,0.103572625
122,es,Spain,2018,0.132175907
123,es,Spain,2019,0.223394139
124,es,Spain,2020,0.318673676
125,es,Spain,2021,0.28966714
126,se,Sweden,2016,0.036873914
127,se,Sweden,2017,0.105016526
128,se,Sweden,2018,0.116766232
129,se,Sweden,2019,0.206928833
130,se,Sweden,2020,0.328804715
131,se,Sweden,2021,0.345207164
132,ae,United Arab Emirates,2016,0.043980422
133,ae,United Arab Emirates,2017,0.088929997
134,ae,United Arab Emirates,2018,0.086044974
135,ae,United Arab Emirates,2019,0.187410828
136,ae,United Arab Emirates,2020,0.284527469
137,ae,United Arab Emirates,2021,0.272628783
138,gb,United Kingdom,2016,0.034823558
139,gb,United Kingdom,2017,0.084801806
140,gb,United Kingdom,2018,0.095157081
141,gb,United Kingdom,2019,0.195345152
142,gb,United Kingdom,2020,0.250902742
143,gb,United Kingdom,2021,0.247504609
144,us,United States,2016,0.037058943
145,us,United States,2017,0.085545453
146,us,United States,2018,0.099415046
147,us,United States,2019,0.193202116
148,us,United States,2020,0.267962968
149,us,United States,2021,0.264421888
